"year","month","credate","Ward","Police.District","Community.Area","Latitude","Longitude"
2015,9,2015-09-08,42,1,32,41.8846028548885,-87.6271869401959
2015,9,2015-09-07,49,24,1,42.0067100665421,-87.671091058183
2015,9,2015-09-07,47,19,5,41.9558362020128,-87.6813522953319
2015,9,2015-09-07,40,24,2,41.9971495349845,-87.6756700782508
2015,9,2015-09-08,47,19,6,41.9452350412371,-87.671649284229
2015,9,2015-09-08,39,17,14,41.9747978172472,-87.7405097280249
2015,9,2015-09-08,50,24,2,42.0084817077208,-87.6934269056417
2015,9,2015-09-08,25,12,31,41.8580416257672,-87.6810574106818
2015,9,2015-09-08,39,17,13,41.9804195495261,-87.7135156827659
2015,9,2015-09-08,50,24,2,42.0034607598847,-87.6959869697242
2015,9,2015-09-08,50,24,2,42.0034038617855,-87.6959854099948
2015,9,2015-09-08,39,17,14,41.9700195138757,-87.7441123280072
2015,9,2015-09-06,40,24,2,41.9931698593303,-87.6815254129498
